ID,Term,Language_Type,Major1,Major2,Major3,Minors
339785,1191,D,ITST,,,
356548,1191,D,HIST,THEA,,
361476,1191,D,PSYC,,,
362179,1191,D,COL,,,
355345,1191,D,E&ES,HISP,,
356373,1191,D,GOVT,HISP,,
339451,1191,D,CEAS,,,HIST-MN
333847,1191,D,GRST,MUSC,,
356442,1191,D,FGSS,PSYC,,GRST-MN
356708,1191,D,GRST,,,
360037,1191,D,ANTH,FILM,,
362064,1191,D,COL,MATH,,
356784,1191,D,ENVS,GOVT,,
339353,1191,D,SISP,,,
339433,1191,D,AMST,,,
339517,1191,D,HISP,MB&B,,
355390,1191,D,THEA,,,
356532,1191,D,HISP,LAST,,DATA-MN
356590,1191,D,AMST,GOVT,,
356591,1191,D,ECON,HISP,LAST,
356651,1191,D,HISP,,,
360105,1191,D,COL,MATH,,
361511,1191,D,ENGL,HISP,,
362630,1191,D,HISP,SOC,,
339601,1191,D,FRST,,,
339762,1191,D,ARST,FRST,,
355413,1191,D,FRST,HIST,,CEAS-MN
356334,1191,D,FRST,PSYC,,
356433,1191,D,FRST,HIST,,
356612,1191,D,FRST,PSYC,,EDST-MN
356657,1191,D,ECON,FRST,,
358729,1191,D,COL,FRST,,
358768,1191,D,COL,,,
361494,1191,D,FRST,GOVT,,
362160,1191,D,BIOL,FRST,,
362223,1191,D,,,,
362271,1191,D,COL,FRST,,
363318,1191,D,COL,FRST,,
356326,1199,A,AMST,,,
358641,1199,A,AFAM,CSS,,
358697,1199,A,ENGL,,,
358843,1199,A,PHYS,,,IDEA-MN
360002,1199,A,ENGL,,,FILM-MN
362462,1199,A,CSS,ENVS,,
362564,1199,A,ENGL,THEA,,
362570,1199,A,FILM,,,
355358,1199,A,FILM,PHYS,,
335981,1199,A,CHEM,COMP,MATH,
356412,1199,A,GOVT,,,
358657,1199,A,FGSS,,,
358715,1199,A,FILM,PSYC,,DATA-MN
358771,1199,A,AFAM,FILM,,
360003,1199,A,PSYC,,,
360043,1199,A,PSYC,,,
334737,1199,A,BIOL,MATH,NS&B,
335367,1199,A,PHYS,,,
335795,1199,A,MATH,,,
335806,1199,A,PHYS,,,
335848,1199,A,COMP,,,
339474,1199,A,MATH,,,
355313,1199,A,ECON,MATH,,CEAS-MN
356428,1199,A,COMP,ECON,MATH,
356441,1199,A,MATH,,,CEAS-MN
358605,1199,A,GOVT,,,
358796,1199,A,ECON,MATH,,DATA-MN
358803,1199,A,ARST,ENGL,,
360009,1199,A,CSS,GOVT,,HIST-MN
360034,1199,A,ENGL,,,
360093,1199,A,CSS,,,
358708,1199,A,ECON,,,REES-MN
358788,1199,A,COMP,,,DATA-MN
362335,1199,A,ENGL,,,RELI-MN
362405,1199,A,AMST,GOVT,,
362420,1199,A,COMP,PHYS,,
362498,1199,A,ASTR,PHYS,,
358811,1199,A,AMST,GOVT,,
358823,1199,A,ECON,,,DATA-MN
362173,1199,A,ANTH,,,IDEA-MN
362386,1199,A,FGSS,,,
362412,1199,A,UNIV,,,IDEA-MN
358819,1199,A,ECON,,,
362444,1199,A,BIOL,ENVS,,DATA-MN
358604,1199,A,ECON,ENVS,,
368280,1199,A,PSYC,,,RELI-MN
360082,1199,A,CHEM,,,
360027,1199,A,ECON,GOVT,,
362088,1199,A,CSS,ECON,,
362148,1199,A,CSS,,,
362514,1199,A,CSS,ENVS,,DATA-MN
362302,1199,A,PHIL,,,
358592,1199,A,GOVT,PSYC,,EDST-MN
358625,1199,A,ECON,,,HIST-MN
358808,1199,A,ENGL,,,
358844,1199,A,ENVS,SOC,,
358853,1199,A,ECON,PSYC,,EDST-MN
360005,1199,A,ENGL,,,
362351,1199,A,AMST,,,
362840,1199,A,COMP,,,IDEA-MN
356410,1199,A,ECON,GOVT,,
358794,1199,A,ENVS,GOVT,,
362215,1199,A,ARHA,,,CEAS-MN
363021,1199,A,GOVT,,,
362254,1199,A,HIST,,,
362268,1199,A,ASTR,ENGL,PHYS,
362588,1199,A,CSS,,,DATA-MN
358821,1199,A,MATH,,,
358647,1199,A,AMST,,,AFAM-MN
358640,1199,A,COMP,THEA,,
355319,1199,A,AFAM,PSYC,,
356343,1199,A,ENGL,,,HIST-MN
360033,1199,A,AMST,SOC,,
360090,1199,A,ANTH,THEA,,
362365,1199,A,ENVS,GOVT,,
358662,1199,A,ENGL,PSYC,SISP,
339831,1199,A,SISP,,,
362069,1199,A,COMP,PSYC,,
362115,1199,B,AMST,COMP,,
362450,1199,B,COMP,,,
339443,1199,B,FILM,,,HIST-MN
356362,1199,B,GOVT,REES,,DATA-MN
358598,1199,B,SOC,,,
358635,1199,B,CSS,,,
362301,1199,B,ARHA,ENGL,,
362327,1199,B,FGSS,PSYC,,
362683,1199,B,PSYC,,,DANC-MN
360031,1199,B,ECON,HIST,,
360040,1199,B,PSYC,,,CEAS-MN
358682,1199,B,ECON,,,
362151,1199,B,GOVT,UNIV,,IDEA-MN
356645,1199,B,CHEM,,,
358648,1199,B,SISP,SOC,,EDST-MN
358665,1199,B,ECON,,,DATA-MN
358703,1199,B,COMP,MATH,,
358711,1199,B,AMST,SOC,,
358724,1199,B,PSYC,,,
358738,1199,B,ENGL,FILM,,
358765,1199,B,PSYC,SISP,,
358810,1199,B,ANTH,,,
358883,1199,B,NS&B,PSYC,,
360044,1199,B,FGSS,PSYC,,EDST-MN
360230,1199,B,SOC,,,
362092,1199,B,ECON,,,
362109,1199,B,MB&B,NS&B,,
362144,1199,B,PSYC,,,EDST-MN
362239,1199,B,MB&B,,,
362354,1199,B,AFAM,PSYC,,
362360,1199,B,PSYC,SISP,,EDST-MN
362381,1199,B,PHIL,,,
362632,1199,B,FGSS,THEA,,
362177,1199,B,E&ES,,,
358781,1199,B,ENVS,GOVT,,
362442,1199,B,GOVT,MATH,,
358820,1199,B,BIOL,SISP,,
362506,1199,B,AFAM,AMST,,
358751,1199,B,FGSS,SISP,,
358876,1199,B,ANTH,GOVT,,
360235,1199,B,ENGL,HIST,,
358666,1199,B,FILM,,,
360114,1199,B,ARST,PSYC,,
362307,1199,B,PSYC,SISP,,
362167,1199,B,PSYC,SOC,,
362221,1199,B,PSYC,,,
358835,1199,B,MATH,PHIL,,
362513,1199,B,PHIL,,,RELI-MN
362113,1199,B,ECON,,,DATA-MN
362501,1199,B,ECON,ENGL,,
358777,1199,B,PHYS,,,
358746,1199,B,ASTR,PHYS,,
358726,1199,C,CEAS,,,FILM-MN
362075,1199,C,NS&B,,,
368639,1199,C,,,,
358634,1199,C,GOVT,,,
